Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,Nr_of_assets,T_overall,T_calculation,Result,Abs_Error,Error
Serial,call,100,110,0.02,0.75,1,10000,200,0,1,0.529101167,0.5290292,13.82012177,0.1101217713,0.1101217713
Serial,call,100,110,0.02,0.75,1,80000,200,0,1,4.0161406,4.016128552,13.69084701,0.01915299095,-0.01915299095
Serial,call,100,110,0.02,0.75,1,100000,200,0,1,5.035203699,5.03517809,13.75012737,0.04012736716,0.04012736716
Serial,call,100,110,0.02,0.75,1,160000,200,0,1,7.86509888,7.865075495,13.67978665,0.03021335234,-0.03021335234
Serial,call,100,110,0.02,0.75,1,320000,200,0,1,16.87511332,16.87509514,13.75719989,0.04719989073,0.04719989073
Serial,call,100,110,0.02,0.75,1,640000,200,0,1,32.4145147,32.41447445,13.73699875,0.02699874502,0.02699874502
Serial,call,100,110,0.02,0.75,1,800000,200,0,1,40.9000529,40.90001971,13.69839013,0.01160986704,-0.01160986704
Serial,call,100,110,0.02,0.75,1,1000000,200,0,1,50.69377309,50.69374185,13.72300354,0.01300353888,0.01300353888
Serial,call,100,110,0.02,0.75,1,1600000,200,0,1,82.56448935,82.56444935,13.75243195,0.04243194574,0.04243194574
Serial,call,100,110,0.02,0.75,1,3200000,200,0,1,163.5519673,163.5519385,13.77164088,0.0616408784,0.0616408784
Serial,call,100,110,0.02,0.75,1,6400000,200,0,1,327.9432422,327.9432218,13.72489151,0.01489151302,0.01489151302
Serial,call,100,110,0.02,0.75,1,8000000,200,0,1,412.0387339,412.0387194,13.75399476,0.04399475771,0.04399475771
Serial,call,100,110,0.02,0.75,1,10000000,200,0,1,516.3224874,516.3224607,13.76171502,0.05171502232,0.05171502232
OMP,call,100,110,0.02,0.75,1,10000,200,1,1,0.503162328,0.503088269,13.78647952,0.07647951552,0.07647951552
OMP,call,100,110,0.02,0.75,1,10000,200,8,1,0.104642716,0.10460583,13.71320837,0.003208369801,0.003208369801
OMP,call,100,110,0.02,0.75,1,10000,200,16,1,0.062638637,0.062620475,13.75119218,0.04119217751,0.04119217751
OMP,call,100,110,0.02,0.75,1,10000,200,32,1,0.074712414,0.074695386,13.50807731,0.2019226915,-0.2019226915
OMP,call,100,110,0.02,0.75,1,10000,200,64,1,0.066248556,0.066222228,13.87157416,0.161574163,0.161574163
OMP,call,100,110,0.02,0.75,1,80000,200,1,1,4.020737043,4.020712067,13.57914426,0.1308557437,-0.1308557437
OMP,call,100,110,0.02,0.75,1,80000,200,8,1,0.544778019,0.544760684,13.88698742,0.1769874232,0.1769874232
OMP,call,100,110,0.02,0.75,1,80000,200,16,1,0.308560955,0.30854618,13.73067506,0.02067505853,0.02067505853
OMP,call,100,110,0.02,0.75,1,80000,200,32,1,0.175547331,0.175522065,13.98744307,0.2774430746,0.2774430746
OMP,call,100,110,0.02,0.75,1,80000,200,64,1,0.17649222,0.176473687,13.77496019,0.064960189,0.064960189
OMP,call,100,110,0.02,0.75,1,100000,200,1,1,4.948711478,4.94869276,13.84603101,0.1360310122,0.1360310122
OMP,call,100,110,0.02,0.75,1,100000,200,8,1,0.674802512,0.674767684,13.83198937,0.1219893668,0.1219893668
OMP,call,100,110,0.02,0.75,1,100000,200,16,1,0.378799187,0.378756334,13.81643964,0.1064396423,0.1064396423
OMP,call,100,110,0.02,0.75,1,100000,200,32,1,0.223836623,0.223819979,13.71664476,0.006644755534,0.006644755534
OMP,call,100,110,0.02,0.75,1,100000,200,64,1,0.216331997,0.216314254,13.65292684,0.05707315583,-0.05707315583
OMP,call,100,110,0.02,0.75,1,160000,200,1,1,7.925540455,7.925524865,13.71213315,0.002133153054,0.002133153054
OMP,call,100,110,0.02,0.75,1,160000,200,8,1,1.063331853,1.063298013,13.75186734,0.04186733835,0.04186733835
OMP,call,100,110,0.02,0.75,1,160000,200,16,1,0.558373397,0.558345863,13.77087694,0.06087693684,0.06087693684
OMP,call,100,110,0.02,0.75,1,160000,200,32,1,0.336432373,0.336396133,13.73689768,0.02689768033,0.02689768033
OMP,call,100,110,0.02,0.75,1,160000,200,64,1,0.317689699,0.317649058,13.77096099,0.06096098697,0.06096098697
OMP,call,100,110,0.02,0.75,1,320000,200,1,1,16.35669972,16.35667076,13.82188056,0.1118805602,0.1118805602
OMP,call,100,110,0.02,0.75,1,320000,200,8,1,2.100598094,2.100563488,13.83357245,0.1235724507,0.1235724507
OMP,call,100,110,0.02,0.75,1,320000,200,16,1,1.084809225,1.084791156,13.66217301,0.0478269907,-0.0478269907
OMP,call,100,110,0.02,0.75,1,320000,200,32,1,0.588454471,0.588418086,13.76437921,0.05437921148,0.05437921148
OMP,call,100,110,0.02,0.75,1,320000,200,64,1,0.568914804,0.568872293,13.70529126,0.004708737526,-0.004708737526
OMP,call,100,110,0.02,0.75,1,640000,200,1,1,32.66302,32.66299644,13.79691889,0.08691889407,0.08691889407
OMP,call,100,110,0.02,0.75,1,640000,200,8,1,4.178967249,4.178952022,13.77842138,0.06842137823,0.06842137823
OMP,call,100,110,0.02,0.75,1,640000,200,16,1,2.131922166,2.131903092,13.78112823,0.07112823386,0.07112823386
OMP,call,100,110,0.02,0.75,1,640000,200,32,1,1.209041425,1.209007171,13.71182184,0.001821838856,0.001821838856
OMP,call,100,110,0.02,0.75,1,640000,200,64,1,1.220400962,1.220376599,13.70063927,0.009360726105,-0.009360726105
OMP,call,100,110,0.02,0.75,1,800000,200,1,1,41.07338813,41.07334946,13.710421,0.0004210006742,0.0004210006742
