Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,Nr_of_assets,T_overall,T_calculation,Result,Abs_Error,Error
Serial,call,100,110,0.02,0.75,1,10000,200,0,1,0.663710545,0.663688972,13.80563366,0.05436634255,-0.05436634255
Serial,call,100,110,0.02,0.75,1,10000,1000,0,1,3.341478133,3.341462,13.56763119,0.2923688078,-0.2923688078
Serial,call,100,110,0.02,0.75,1,25000,200,0,1,1.709502404,1.709489924,13.61917393,0.240826071,-0.240826071
Serial,call,100,110,0.02,0.75,1,25000,1000,0,1,8.273740134,8.273730274,13.71454874,0.1454512636,-0.1454512636
Serial,call,100,110,0.02,0.75,1,50000,200,0,1,3.277904,3.277893813,14.18845822,0.32845822,0.32845822
Serial,call,100,110,0.02,0.75,1,50000,1000,0,1,16.62527644,16.62525971,13.45589961,0.4041003861,-0.4041003861
Serial,call,100,110,0.02,0.75,1,75000,200,0,1,4.987779686,4.987769996,13.76909552,0.09090447926,-0.09090447926
Serial,call,100,110,0.02,0.75,1,75000,1000,0,1,25.12320695,25.12318986,13.78723366,0.07276634216,-0.07276634216
Serial,call,100,110,0.02,0.75,1,100000,200,0,1,6.676118581,6.676103543,13.59696361,0.2630363937,-0.2630363937
Serial,call,100,110,0.02,0.75,1,100000,1000,0,1,32.94188106,32.94185856,13.66196467,0.1980353282,-0.1980353282
Serial,call,100,110,0.02,0.75,1,250000,200,0,1,16.74159535,16.74158511,13.52328895,0.3367110476,-0.3367110476
Serial,call,100,110,0.02,0.75,1,250000,1000,0,1,82.83611158,82.83609283,13.87548428,0.01548427907,0.01548427907
Serial,call,100,110,0.02,0.75,1,500000,200,0,1,32.96409878,32.96407634,13.6390422,0.2209578043,-0.2209578043
Serial,call,100,110,0.02,0.75,1,500000,1000,0,1,165.1859037,165.1858812,13.77981428,0.0801857162,-0.0801857162
Serial,call,100,110,0.02,0.75,1,750000,200,0,1,50.06043711,50.0604067,13.69501583,0.1649841718,-0.1649841718
Serial,call,100,110,0.02,0.75,1,750000,1000,0,1,247.8231717,247.8231547,13.72294181,0.1370581866,-0.1370581866
Serial,call,100,110,0.02,0.75,1,1000000,200,0,1,67.05692444,67.05690196,13.66846286,0.1915371374,-0.1915371374
Serial,call,100,110,0.02,0.75,1,1000000,1000,0,1,331.4119617,331.4119384,13.72565319,0.1343468111,-0.1343468111
OMP,call,100,110,0.02,0.75,1,10000,200,1,1,0.696186576,0.69607146,13.90209981,0.04209981165,0.04209981165
OMP,call,100,110,0.02,0.75,1,10000,200,5,1,0.177880875,0.177870289,13.8703616,0.01036159798,0.01036159798
OMP,call,100,110,0.02,0.75,1,10000,200,10,1,0.096124639,0.09610449,13.03843182,0.8215681752,-0.8215681752
OMP,call,100,110,0.02,0.75,1,10000,200,25,1,0.078132235,0.078122457,13.04098621,0.8190137927,-0.8190137927
OMP,call,100,110,0.02,0.75,1,10000,200,32,1,0.099573926,0.099564914,13.03844318,0.8215568179,-0.8215568179
